Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Stop the suspected medicine immediately after medical advice,Do not scratch or rub the irritated skin area,Use only doctor prescribed anti allergy medicine,Visit a nearby hospital quickly if swelling or breathing trouble starts
Malaria,Get tested and start treatment at a nearby hospital early,Drink clean water often to prevent dehydration,Take light home cooked food and avoid heavy oily meals,Use mosquito nets and repellents to prevent new bites
Allergy,Avoid contact with the trigger such as dust food or chemical,Apply calamine lotion or a cold compress for itching relief,Take doctor advised antihistamine medicine on time,Seek urgent care if lips tongue or throat swelling appears
Hypothyroidism,Take thyroid medicine daily at the same time,Follow a balanced diet with regular meal timing,Do light to moderate exercise most days of the week,Attend regular thyroid blood test follow up with your doctor
Psoriasis,Keep skin moisturized and avoid very hot water bathing,Use prescribed creams exactly as advised by dermatologist,Avoid scratching plaques and keep nails short and clean,Follow stress control sleep hygiene and regular medical review
GERD,Eat small frequent meals instead of large heavy meals,Avoid spicy fatty acidic and late night foods,Do not lie down for at least two to three hours after food,Maintain healthy weight and elevate head side while sleeping
Chronic cholestasis,Use anti itch medicine only as prescribed by doctor,Take cool showers and wear loose cotton clothes for comfort,Follow liver friendly diet and avoid alcohol completely,Consult doctor regularly for liver function monitoring
hepatitis A,Take complete rest during the acute illness phase,Drink safe boiled water and maintain strict hand hygiene,Eat soft low fat meals and avoid outside street food,Visit hospital if vomiting jaundice or weakness worsens
Osteoarthristis,Do joint friendly exercises and stretching every day,Use warm compress or hot bath to reduce stiffness,Take pain relief medicine only under medical guidance,Maintain ideal body weight to reduce joint load
(vertigo) Paroymsal  Positional Vertigo,Lie down safely when spinning sensation starts,Avoid sudden head turns and quick body position changes,Do vestibular exercises taught by a trained professional,Consult ENT or neurology doctor if episodes keep recurring
Hypoglycemia,Check blood sugar as soon as symptoms appear,Take quick sugar source like glucose tablet or sweet juice,Recheck sugar after fifteen minutes and repeat if still low,Consult doctor to adjust diabetes medicine and meal plan
Acne,Wash face gently twice daily with mild cleanser,Do not squeeze pimples to prevent scars and infection,Use non oily skin products and avoid heavy creams,Follow dermatologist treatment plan and drink enough water
Diabetes ,Monitor blood sugar regularly and keep a record,Follow balanced diet with portion control and fixed meal timing,Do daily physical activity as advised by doctor,Take medicine or insulin regularly and never skip follow up
Impetigo,Wash affected skin with clean lukewarm water gently,Apply prescribed antibiotic ointment for full treatment duration,Keep lesions covered with clean dry dressing,Do not share towels clothes or personal items at home
Hypertension ,Check blood pressure at home on fixed schedule,Reduce salt intake and avoid processed packaged foods,Practice stress reduction and sleep at least seven hours,Take blood pressure medicine regularly and attend follow up
Peptic ulcer diseae,Avoid painkiller misuse especially empty stomach doses,Eat non spicy meals and avoid tobacco and alcohol,Take anti ulcer medicine for full prescribed duration,Consult doctor urgently if black stool or vomiting blood appears
Dimorphic hemmorhoids(piles),Eat high fiber diet with fruits vegetables and fluids,Avoid straining during bowel movement and prolonged sitting,Use warm sitz bath to reduce pain and swelling,Consult surgeon if bleeding pain or lump increases
Common Cold,Take warm fluids soups and adequate rest at home,Use steam inhalation for blocked nose and throat comfort,Use fever medicine only in recommended safe dose,Seek medical review if high fever lasts more than three days
Chicken pox,Keep nails short and avoid scratching blisters,Use soothing bath and prescribed lotion for itching relief,Isolate from others until all blisters are crusted,Consult doctor if breathing trouble confusion or persistent fever occurs
Cervical spondylosis,Maintain correct neck posture during desk and phone use,Do supervised neck strengthening and stretching exercises,Use hot or cold compress based on pain relief response,Consult doctor if arm weakness numbness or severe pain increases
Hyperthyroidism,Take thyroid control medicine exactly as prescribed,Limit caffeine and manage stress with relaxation practice,Eat balanced meals and monitor weight and heartbeat changes,Do periodic thyroid test and specialist follow up
Urinary tract infection,Drink plenty of water throughout the day,Do not hold urine and empty bladder completely,Take full antibiotic course exactly as prescribed,Seek review quickly for fever flank pain or recurrent burning
Varicose veins,Elevate legs above heart level during rest periods,Wear compression stockings as advised by clinician,Avoid standing or sitting in one position for long time,Do regular walking and calf muscle exercises daily
AIDS,Take antiretroviral therapy daily without missing doses,Use protection during sexual contact and avoid blood exposure,Maintain nutrition vaccination and regular infection screening,Continue close follow up at HIV care center
Paralysis (brain hemorrhage),Start rehabilitation physiotherapy as early as medically possible,Control blood pressure sugar and other stroke risk factors,Use assisted movement and position changes to prevent bed sores,Keep regular neurology follow up and emergency plan ready
Typhoid,Take complete antibiotic course exactly as prescribed,Drink oral fluids and safe water to prevent dehydration,Eat soft easily digestible meals in small portions,Seek urgent care if persistent high fever or confusion develops
Hepatitis B,Follow liver specialist advice and regular blood tests,Avoid alcohol and unnecessary pain medicines completely,Eat nutritious low fat meals and stay hydrated,Encourage household vaccination and safe hygiene practices
Fungal infection,Keep affected area clean dry and well ventilated,Apply antifungal medicine for full duration even after relief,Change socks innerwear and towels daily with sun drying,Do not share personal clothing or skin care items
Hepatitis C,Consult liver specialist for antiviral treatment planning,Avoid alcohol completely to protect liver from further damage,Do regular liver function monitoring and imaging follow up,Maintain safe blood and needle practices to prevent spread
Migraine,Keep regular sleep schedule and do not skip meals,Identify and avoid personal triggers like bright light or fasting,Use prescribed acute medicine at earliest symptom onset,Consult doctor if headache pattern suddenly changes or worsens
Bronchial Asthma,Use inhaler with correct technique and spacer if advised,Stay away from smoke dust perfume and known triggers,Keep rescue inhaler accessible at all times,Seek emergency help for severe breathlessness or chest tightness
Alcoholic hepatitis,Stop alcohol completely and seek deaddiction support,Take prescribed liver treatment and nutrition supplements,Attend regular liver function and clotting profile follow up,Go to hospital quickly for vomiting blood swelling or confusion
Jaundice,Drink safe water and maintain adequate hydration,Take light balanced meals and avoid oily heavy foods,Avoid alcohol and self medication without doctor advice,Seek hospital care if fever severe weakness or confusion appears
Hepatitis E,Take complete rest and avoid overexertion,Drink clean fluids and maintain safe food hygiene,Do not consume alcohol during recovery period,Consult doctor if jaundice or vomiting is increasing
Dengue,Drink oral rehydration water and clear fluids frequently,Monitor fever and platelet related warning signs daily,Avoid painkillers like ibuprofen unless doctor allows,Seek hospital care for bleeding severe pain or persistent vomiting
Hepatitis D,Follow specialist treatment plan and scheduled testing,Avoid alcohol and liver toxic medicines completely,Eat healthy meals and maintain proper hydration,Keep regular follow up to monitor liver complications
Heart attack,Call emergency ambulance immediately without delay,Chew aspirin only if previously advised and not allergic,Keep patient calm seated and avoid physical exertion,Reach nearest emergency cardiac center as fast as possible
Pneumonia,Take full antibiotic course and do not stop early,Rest well and drink warm fluids to loosen mucus,Monitor breathing rate fever and oxygen warning signs,Seek urgent care if breathlessness or chest pain increases
Arthritis,Do low impact exercise and daily joint mobility routine,Use heat or cold packs based on swelling and stiffness,Take medicines only as prescribed and protect painful joints,Maintain healthy weight and regular rheumatology follow up
Gastroenteritis,Start oral rehydration solution in small frequent sips,Avoid oily spicy and heavy food until vomiting settles,Rest and return to bland diet gradually over one to two days,Seek hospital care for blood in stool or severe dehydration signs
Tuberculosis,Take anti tuberculosis medicines daily for full prescribed course,Cover mouth while coughing and use mask in public areas,Ensure good nutrition ventilation and adequate rest daily,Attend regular sputum and follow up tests to confirm cure
